New Georeferenced Column
Genesee, NY (42.02693, -78.205893)
Genesee, NY (42.02693, -78.205893)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Independence, NY (42.088045, -77.781386)
Genesee, NY (42.02693, -78.205893)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Andover, NY (42.156405, -77.795231)
Genesee, NY (42.02693, -78.205893)
Andover, NY (42.156405, -77.795231)
Bolivar, NY (42.066701, -78.167667)
Independence, NY (42.088045, -77.781386)
Genesee, NY (42.02693, -78.205893)
Bolivar, NY (42.066701, -78.167667)
Caneadea, NY (42.388789, -78.15306)
Andover, NY (42.156405, -77.795231)
Genesee, NY (42.02693, -78.205893)
Bolivar, NY (42.066701, -78.167667)
Genesee, NY (42.02693, -78.205893)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Alma, NY (42.012207, -78.060759)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Genesee, NY (42.02693, -78.205893)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Andover, NY (42.156405, -77.795231)
Friendship, NY (42.207973, -78.133696)
Caneadea, NY (42.388789, -78.15306)
Rushford, NY (42.38858, -78.253057)
Scio, NY (42.171429, -77.97865)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Alma, NY (42.012207, -78.060759)
Genesee, NY (42.02693, -78.205893)
Genesee, NY (42.02693, -78.205893)
Genesee, NY (42.02693, -78.205893)
Bolivar, NY (42.066701, -78.167667)
Andover, NY (42.156405, -77.795231)
Independence, NY (42.088045, -77.781386)
Andover, NY (42.156405, -77.795231)
Bolivar, NY (42.066701, -78.167667)
Independence, NY (42.088045, -77.781386)
Wirt, NY (42.137408, -78.150594)
Wellsville, NY (42.120693, -77.946058)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Andover, NY (42.156405, -77.795231)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Independence, NY (42.088045, -77.781386)
Genesee, NY (42.02693, -78.205893)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Genesee, NY (42.02693, -78.205893)
Bolivar, NY (42.066701, -78.167667)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Clarksville, NY (42.575802, -73.964401)
Clarksville, NY (42.575802, -73.964401)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Wirt, NY (42.137408, -78.150594)
Clarksville, NY (42.575802, -73.964401)
Willing, NY (42.085346, -77.922864)
Genesee, NY (42.02693, -78.205893)
Genesee, NY (42.02693, -78.205893)
Genesee, NY (42.02693, -78.205893)
Genesee, NY (42.02693, -78.205893)
Independence, NY (42.088045, -77.781386)
Wellsville, NY (42.120693, -77.946058)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Bolivar, NY (42.066701, -78.167667)
Alma, NY (42.012207, -78.060759)
Independence, NY (42.088045, -77.781386)
Bolivar, NY (42.066701, -78.167667)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Clarksville, NY (42.575802, -73.964401)
Rushford, NY (42.38858, -78.253057)
Clarksville, NY (42.575802, -73.964401)
Alma, NY (42.012207, -78.060759)
Bolivar, NY (42.066701, -78.167667)
Allen, NY (42.391385, -78.01511)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Alma, NY (42.012207, -78.060759)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Independence, NY (42.088045, -77.781386)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Wellsville, NY (42.120693, -77.946058)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Alma, NY (42.012207, -78.060759)
Scio, NY (42.171429, -77.97865)
Alma, NY (42.012207, -78.060759)
Rushford, NY (42.38858, -78.253057)
Wirt, NY (42.137408, -78.150594)
Rushford, NY (42.38858, -78.253057)
Andover, NY (42.156405, -77.795231)
Andover, NY (42.156405, -77.795231)
Andover, NY (42.156405, -77.795231)
Andover, NY (42.156405, -77.795231)
Independence, NY (42.088045, -77.781386)
Wirt, NY (42.137408, -78.150594)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Scio, NY (42.171429, -77.97865)
Wellsville, NY (42.120693, -77.946058)
Friendship, NY (42.207973, -78.133696)
Andover, NY (42.156405, -77.795231)
Andover, NY (42.156405, -77.795231)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Willing, NY (42.085346, -77.922864)
Bolivar, NY (42.066701, -78.167667)
Willing, NY (42.085346, -77.922864)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
